,topic,topName,postCount,summary,topEnga,D,R,I
44,c43,43_educators_worldteachersday_teachers_students,18,"James E. Clyburn (Democrat-SC) said: I cherish the memories and relationships from my time as a teacher. This #WorldTeachersDay, I commend the educators who make it their mission to engage young people in the education process, and expand their willingness to dream bigger than their circumstances. https://t.co/yXI8YsyZxt
Chris Van Hollen (Democrat-MD) said: Thank you to our educators who continue to inspire, guide &amp; prepare the next generation for success. WorldTeachersDay
Lucy McBath (Democrat-GA) said: I was honored to greet this year's National Student Poets during their trip to the nation's capital, especially our #GA06 neighbor from Milton: Aanika! I want to applaud all the educators working day in and day out to inspire our young people.",655,14.0,4.0,0.0
45,c44,44_adelante_australia_eagle_farlefts,16,"Paul A. Gosar (Republican-AZ) said: What the hell is going on in Australia?? Jim Jordan (Republican-OH) said: https://t.co/SGvcDDdPdi
House Committee on the Judiciary (N/A-N/A) said: ??? axios.com/trillion-dolla…
Robert Menendez (Democrat-NJ) said: Fixed that for you. https://t.co/eshUsBapIa
Danny K. Davis (Democrat-IL) said: https://t.co/N29qj7Vr3W
Frederica S. Wilson (Democrat-FL) said: https://t.co/S4XLUriFaI
Benjamin L. Cardin (Democrat-MD) said: @LeaderHoyer Thank you, my friend!",5769,7.0,5.0,0.0
46,c45,45_businesses_business_entrepreneurs_pub,16,"Hakeem S. Jeffries (Democrat-NY) said: The cult has no interest in governing. Glad to see North Dakota &amp; its local business community recognized for leading the way! https://t.co/gwLDvcsiKa
Tom Emmer (Republican-MN) said: I’m proud to join my @FinancialCmte colleague @PatrickMcHenry in introducing the Small Entrepreneurs’ Empowerment and Development (SEED) Act. … Tune in 👇 youtube.com/watch?v=SgU2AO…
House Committee on Small Business (N/A-N/A) said: 🚨 Once again an @SBAgov official refuses to discuss the most serious issues facing American small businesses. @RepBethVanDuyne: ""Do you believe increases in inflation help small businesses to grow &amp; compete?""",13174,5.0,7.0,0.0
47,c46,46_broadband_libraries_schools_internet,16,"Pete Stauber (Republican-MN) said: I recently stopped by Two Harbors High School and Minnehaha Elementary to drop off books from the Library of Congress’ Surplus Book Exchange. https://t.co/Lvu10xeFmU
Lucille Roybal-Allard (Democrat-CA) said: Until October 13, #CA40 schools &amp; libraries can apply for additional #AmericanRescuePlan funding to help improve broadband services so students learning remotely in all communities have the tools they need. Learn more about eligibility &amp; apply here: emergencyconnectivityfund.org
Teresa Leger Fernandez (Democrat-NM) said: As technology continues advancing, reliable broadband has become critical for learning. Local schools and libraries can apply for additional funding from the American Rescue Plan to increase broadband services now through October 13th. 13th for the Emergency Connectivity Fund provided by the #AmericanRescuePlan.",189,11.0,2.0,0.0
48,c47,47_breast_cancer_breastcancerawarenessmonth_schedule,15,"James E. Clyburn (Democrat-SC) said: Wear pink this #BreastCancerAwareness month to show your support for those fighting this terrible disease, those we’ve lost, and the work remaining to find a cure. # With October being #BreastCancerAwarenessMonth, its important that we continue to raise awareness and find a cure to fight this disease. https://t.co/yTF9n661ts
Mike Garcia (Republican-CA) said: October is #BreastCancerAwarenessMonth. Join me in honoring those currently in the fight, the survivors, &amp; our medical experts that strive every day to find a cure. Robin L. Kelly (Democrat-IL) said: Breast Cancer Awareness Month is the perfect time to schedule a mammogram if you’ve been putting it off.",2331,10.0,5.0,0.0
49,c48,48_fire_forest_firepreventionweek_firefighters,14,"Joe Neguse (Democrat-CO) said: This #FirePreventionWeek we honor our brave firefighters and first responders who risk their lives to protect us every day. https://t.co/pHXf2AmCxo
Jacky Rosen (Democrat-NV) said: Firefighters play a critical role in protecting our communities. Congress must not wait for the smoke to clear to pass this critical bill! Thank you for your commitment to public safety and helping our community.",367,8.0,5.0,0.0
50,c49,49_tax_buildbackbetter_youtubetmesouh4jpu_taxes,14,"Pramila Jayapal (Democrat-WA) said: Tax the rich and invest in our communities. Peter A. DeFazio (Democrat-OR) said: The American people overwhelmingly support the #BuildBackBetter agenda, which lowers everyday costs, provides the largest middle class tax cut in history, and is paid for by making the wealthy and giant corporations pay their fair share. BuildBackBetter twitter.com/JECDems/status…
August Pfluger (Republican-TX) said: • A new Death Tax that will destroy generational farming — a cornerstone of our communities. Congress must get this done #ForThePeople!",4026,7.0,2.0,0.0
51,c50,50_hispanic_heritage_latinos_hispanicheritagemonth,14,"Rick Scott (Republican-FL) said: As part of my “Un cafecito con” video series celebrating #HispanicHeritageMonth, I sat down with Cuban-American leader Tony Morejon to talk about representing Florida's Hispanic communities &amp; being a leading voice for families in Hillsborough County. twitter.com/lvlcc/status/1…
Sylvia R. Garcia (Democrat-TX) said: Thank you to @NASA &amp; everyone who joined us yesterday for a great town hall to discuss opportunities for young Latinos &amp; Latinas in STEM. Este mes nos reunimos para conmemorar todos los logros tan maravillosos de los hispanos y latinoamericanos. https://t.co/POb3jJgpVT
Mikie Sherrill (Democrat-NJ) said: Congrats to Dr. Hortensia Kelly and Raul Malave for receiving the 2021 Estrellas del Condado de Essex award! Congratulations to NC-04 resident Elissa Gonzalez for being recognized for the outstanding work she does as a Rural Letter Carrier!",287,8.0,3.0,0.0
52,c51,51_climate_hurricane_weather_unleashed,12,"Joe Neguse (Democrat-CO) said: Coloradans are witnessing the impacts of the climate crisis every day, through wildfires, flooding and horrible air quality. nytimes.com/2021/10/04/opi…
Tammy Baldwin (Democrat-WI) said: I agree! We have to #ActOnClimate before it’s too late. twitter.com/wienvironment/…
Henry C. ""Hank"" Johnson, Jr. (Democrat-GA) said: Communities of color are bearing the brunt of climate-fueled extreme weather events across the country. HurricaneIda, #EnvironmentalJustice, #BuildBackBetter, #climateaction youtu.be/Y0cE3e21t6c
Carolyn B. Maloney (Democrat-NY) said: The unprecedented destruction unleashed by Hurricane Ida is part of a growing trend that we can't ignore.",1444,8.0,1.0,0.0
53,c52,52_allies_meeting_russia_alliances,12,"Mario Diaz-Balart (Republican-FL) said: Great meeting with President Trump today to discuss economic, domestic and foreign policies. https://t.co/j3qyxDmXIs
Angus S. King, Jr. (Independent-ME) said: Good conversation this morning with NATO’s @JensStoltenberg, focusing on our shared commitment to protecting democracy, security, and freedom across the Atlantic. America’s alliances are vital to national and global security; I look forward to our continued work and partnership. StrategicDeterrence #PeaceThroughStrength twitter.com/DefenseOne/sta…
Thom Tillis (Republican-NC) said: Yesterday’s meeting w/ NATO Secretary General Stoltenberg was a productive conversation. Allies across the board oppose a Sole Purpose/No First Use policy.",1863,2.0,5.0,1.0
54,c53,53_conservation_environmental_principles_land,12,"Edward J. Markey (Democrat-MA) said: The Biden administration’s new proposed rule for the National Environmental Policy Act represents an essential step to restore justice, transparency, and science into our nation’s bedrock environmental law. Jesús G. ""Chuy"" García (Democrat-IL) said: The investments in the #BuildBackBetter Act guarantee that we build thriving, environmentally sustainable, and equitably-oriented communities. I’m proud to be a part of this proposal that allows conservation to work in tandem with our agricultural &amp; natural resource industries. twitter.com/westerncaucus/…
John R. Curtis (Republican-UT) said: In Utah and the West, we know that conservation and restoration is best led by those who are close to the land. More below: 
fischer.senate.gov/public/index.c…",382,4.0,6.0,0.0
55,c54,54_energy_union_electric_efficiency,11,"Debbie Stabenow (Democrat-MI) said: Thank you, @POTUS! We can all do our part #EEDay2021
energyefficiencyday.org
Debbie Stabenow (Democrat-MI) said: You’re right, @markrbassett! Michigan is the global center of the auto industry—we need to keep it that way! #EEDay2021
Donald Norcross (Democrat-NJ) said: NJ continues to lead the way in offshore wind energy – creating clean energy &amp; good-paying union jobs for our communities.",778,7.0,0.0,0.0
